X,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231
1,0,650,12341,650,919,2054,5237,10413,11061,11710,12358,2905,3498,4729,5356,5988,6624,7902,8543,9186,9829,10473,11764,12409,3248,3787,6781,7406,8034,9300,9936,10574,11853,12494,4159,3674,3248,2905,2678,2598,2678,2905,3248,4159,6397,6996,7603,8216,10084,10712,11344,11977,12612,4593,4159,3787,3498,3312,3498,3787,6128,6687,8444,9047,10270,10888,11510,5511,5073,4684,4357,4108,3951,3897,4108,4684,5988,6495,8714,9300,9893,12942,13563,6905,6430,5988,5588,4729,4593,4547,4729,4947,5237,5588,13152,13763,10473,7349,5356,5237,5196,5550,15439,5988,5882,5846,16290,7575,7262,6781,6624,17741,17148,12612,12082,9232,8835,8469,8139,7848,7603,7406,18600,18012,12991,12477,11977,11491,11023,10146,9743,9368,9024,8714,8444,8216,8034,18881,18303,16598,12409,11942,11491,11061,10653,10270,9915,9590,9300,8835,19181,18611,18047,17489,16938,16394,15857,14812,14305,13809,12860,12409,11977,11565,11175,10810,10473,10167,9893,9656,17836,16763,16238,15724,15219,14726,13779,13327,12893,12477,12082,11710,11362,11042,10752,10494,15643,15164,14697,14245,13809,13391,12991,12612,12255,11924,11619,11344,16082,15616,15164,14726,14305,13901,13516,13152,12811,12494,12204,11942,16534,16082,15643,15219,14812,14422,14052,13702,13375,13072,17000,16560,16134,15724,15330,14953,14597,14260,13946,13656,14826
2,650,0,11692,919,650,1452,4593,9765,10413,11061,11710,2342,2905,4108,4729,5356,5988,7262,7902,8543,9186,9829,11118,11764,2756,3248,6162,6781,7406,8666,9300,9936,11213,11853,4684,4159,3674,3248,2905,2678,2598,2678,2905,3674,5810,6397,6996,7603,9457,10084,10712,11344,11977,5073,4593,4159,3787,3498,3312,3498,5588,6128,7848,8444,9656,10270,10888,5988,5511,5073,4684,4357,4108,3951,3951,4357,5511,5988,8139,8714,9300,12324,12942,7406,6905,6430,5988,4947,4729,4593,4593,4729,4947,5237,12545,13152,11042,7821,5550,5356,5237,5356,16042,6162,5988,5882,16888,7929,7575,6996,6781,18337,17741,13152,12612,9656,9232,8835,8469,8139,7848,7603,19192,18600,13516,12991,12477,11977,11491,10574,10146,9743,9368,9024,8714,8444,8216,19464,18881,17161,12893,12409,11942,11491,11061,10653,10270,9915,9590,9047,19755,19181,18611,18047,17489,16938,16394,15330,14812,14305,13327,12860,12409,11977,11565,11175,10810,10473,10167,9893,18383,17295,16763,16238,15724,15219,14245,13779,13327,12893,12477,12082,11710,11362,11042,10752,16134,15643,15164,14697,14245,13809,13391,12991,12612,12255,11924,11619,16560,16082,15616,15164,14726,14305,13901,13516,13152,12811,12494,12204,17000,16534,16082,15643,15219,14812,14422,14052,13702,13375,17453,17000,16560,16134,15724,15330,14953,14597,14260,13946,15150
3,12341,11692,0,12358,11710,10413,7174,2054,1452,919,650,9829,9186,7902,7262,6624,5988,4729,4108,3498,2905,2342,1452,1299,9936,9300,6162,5550,4947,3787,3248,2756,2054,1949,15804,15164,14524,13885,13248,12612,11977,11344,10712,9457,6996,6397,5810,5237,3674,3248,2905,2678,2598,15924,15288,14654,14022,13391,11510,10888,7848,7262,5588,5073,4159,3787,3498,16700,16069,15439,14812,14186,13563,12942,11710,10494,8714,8139,5988,5511,5073,3897,3951,18117,17489,16863,16238,14378,13763,13152,11942,11344,10752,10167,4547,4593,22056,18291,14597,13991,13391,11619,27265,14840,14245,13656,28043,17489,16888,15697,15108,29459,28829,23830,23211,19540,18937,18337,17741,17148,16560,15976,30251,29623,24033,23419,22808,22199,21592,20386,19787,19192,18600,18012,17429,16850,16277,30424,29801,27938,23038,22435,21834,21237,20643,20052,19464,18881,18303,17161,30611,29991,29373,28756,28141,27527,26915,25696,25089,24485,23284,22687,22094,21503,20917,20334,19755,19181,18611,18047,28968,27748,27141,26536,25933,25332,24138,23545,22955,22369,21786,21207,20632,20062,19497,18937,26184,25589,24997,24407,23821,23239,22659,22084,21513,20947,20386,19829,26448,25859,25274,24691,24112,23536,22965,22397,21834,21277,20724,20177,26726,26143,25564,24988,24416,23848,23284,22724,22170,21621,27016,26440,25868,25299,24734,24173,23617,23065,22519,21979,23419
4,650,919,12358,0,650,1949,5196,10393,11042,11692,12341,2678,3312,4593,5237,5882,6528,7821,8469,9117,9765,10413,11710,12358,2905,3498,6624,7262,7902,9186,9829,10473,11764,12409,3787,3248,2756,2342,2054,1949,2054,2342,2756,3787,6162,6781,7406,8034,9936,10574,11213,11853,12494,4159,3674,3248,2905,2678,2905,3248,5810,6397,8216,8835,10084,10712,11344,5073,4593,4159,3787,3498,3312,3248,3498,4159,5588,6128,8444,9047,9656,12761,13391,6495,5988,5511,5073,4108,3951,3897,4108,4357,4684,5073,12942,13563,10167,6905,4729,4593,4547,4947,15205,5356,5237,5196,16042,7026,6687,6162,5988,17489,16888,12255,11710,8739,8318,7929,7575,7262,6996,6781,18337,17741,12612,12082,11565,11061,10574,9656,9232,8835,8469,8139,7848,7603,7406,18600,18012,16277,11977,11491,11023,10574,10146,9743,9368,9024,8714,8216,18881,18303,17729,17161,16598,16042,15494,14422,13901,13391,12409,11942,11491,11061,10653,10270,9915,9590,9300,9047,17489,16394,15857,15330,14812,14305,13327,12860,12409,11977,11565,11175,10810,10473,10167,9893,15219,14726,14245,13779,13327,12893,12477,12082,11710,11362,11042,10752,15643,15164,14697,14245,13809,13391,12991,12612,12255,11924,11619,11344,16082,15616,15164,14726,14305,13901,13516,13152,12811,12494,16534,16082,15643,15219,14812,14422,14052,13702,13375,13072,14260
5,919,650,11710,650,0,1299,4547,9743,10393,11042,11692,2054,2678,3951,4593,5237,5882,7174,7821,8469,9117,9765,11061,11710,2342,2905,5988,6624,7262,8543,9186,9829,11118,11764,4357,3787,3248,2756,2342,2054,1949,2054,2342,3248,5550,6162,6781,7406,9300,9936,10574,11213,11853,4684,4159,3674,3248,2905,2678,2905,5237,5810,7603,8216,9457,10084,10712,5588,5073,4593,4159,3787,3498,3312,3312,3787,5073,5588,7848,8444,9047,12134,12761,7026,6495,5988,5511,4357,4108,3951,3951,4108,4357,4684,12324,12942,10752,7406,4947,4729,4593,4729,15817,5550,5356,5237,16649,7406,7026,6397,6162,18094,17489,12811,12255,9186,8739,8318,7929,7575,7262,6996,18937,18337,13152,12612,12082,11565,11061,10104,9656,9232,8835,8469,8139,7848,7603,19192,18600,16850,12477,11977,11491,11023,10574,10146,9743,9368,9024,8444,19464,18881,18303,17729,17161,16598,16042,14953,14422,13901,12893,12409,11942,11491,11061,10653,10270,9915,9590,9300,18047,16938,16394,15857,15330,14812,13809,13327,12860,12409,11977,11565,11175,10810,10473,10167,15724,15219,14726,14245,13779,13327,12893,12477,12082,11710,11362,11042,16134,15643,15164,14697,14245,13809,13391,12991,12612,12255,11924,11619,16560,16082,15616,15164,14726,14305,13901,13516,13152,12811,17000,16534,16082,15643,15219,14812,14422,14052,13702,13375,14597
6,2054,1452,10413,1949,1299,0,3248,8444,9094,9743,10393,919,1452,2678,3312,3951,4593,5882,6528,7174,7821,8469,9765,10413,1452,1837,4729,5356,5988,7262,7902,8543,9829,10473,5550,4947,4357,3787,3248,2756,2342,2054,1949,2342,4357,4947,5550,6162,8034,8666,9300,9936,10574,5810,5237,4684,4159,3674,2678,2598,4159,4684,6397,6996,8216,8835,9457,6687,6128,5588,5073,4593,4159,3787,3312,3312,4159,4593,6687,7262,7848,10888,11510,8139,7575,7026,6495,5073,4684,4357,3951,3897,3951,4108,11099,11710,11942,8469,5588,5237,4947,4547,17050,6128,5810,5550,17871,8267,7821,7026,6687,19312,18702,13946,13375,10146,9656,9186,8739,8318,7929,7575,20146,19540,14260,13702,13152,12612,12082,11061,10574,10104,9656,9232,8835,8469,8139,20386,19787,18012,13516,12991,12477,11977,11491,11023,10574,10146,9743,9024,20643,20052,19464,18881,18303,17729,17161,16042,15494,14953,13901,13391,12893,12409,11942,11491,11061,10653,10270,9915,19181,18047,17489,16938,16394,15857,14812,14305,13809,13327,12860,12409,11977,11565,11175,10810,16763,16238,15724,15219,14726,14245,13779,13327,12893,12477,12082,11710,17148,16636,16134,15643,15164,14697,14245,13809,13391,12991,12612,12255,17549,17050,16560,16082,15616,15164,14726,14305,13901,13516,17965,17477,17000,16534,16082,15643,15219,14812,14422,14052,15330
7,5237,4593,7174,5196,4547,3248,0,5196,5846,6495,7145,2678,2054,919,650,919,1452,2678,3312,3951,4593,5237,6528,7174,2905,2342,1837,2342,2905,4108,4729,5356,6624,7262,8666,8034,7406,6781,6162,5550,4947,4357,3787,2756,2054,2342,2756,3248,4947,5550,6162,6781,7406,8835,8216,7603,6996,6397,4684,4159,2598,2678,3674,4159,5237,5810,6397,9656,9047,8444,7848,7262,6687,6128,5073,4159,3312,3248,4159,4593,5073,7848,8444,11099,10494,9893,9300,7575,7026,6495,5511,5073,4684,4357,8139,8714,14996,11344,7929,7406,6905,5588,20167,8318,7821,7349,20967,10810,10270,9232,8739,22397,21776,16888,16290,12811,12255,11710,11175,10653,10146,9656,23211,22594,17148,16560,15976,15398,14826,13702,13152,12612,12082,11565,11061,10574,10104,23419,22808,20987,16277,15710,15150,14597,14052,13516,12991,12477,11977,11023,23643,23038,22435,21834,21237,20643,20052,18881,18303,17729,16598,16042,15494,14953,14422,13901,13391,12893,12409,11942,22094,20917,20334,19755,19181,18611,17489,16938,16394,15857,15330,14812,14305,13809,13327,12860,19497,18937,18383,17836,17295,16763,16238,15724,15219,14726,14245,13779,19829,19279,18735,18199,17669,17148,16636,16134,15643,15164,14697,14245,20177,19637,19103,18577,18059,17549,17050,16560,16082,15616,20540,20010,19486,18970,18463,17965,17477,17000,16534,16082,17453
8,10413,9765,2054,10393,9743,8444,5196,0,650,1299,1949,7821,7174,5882,5237,4593,3951,2678,2054,1452,919,650,1452,2054,7902,7262,4108,3498,2905,1837,1452,1299,1837,2342,13779,13136,12494,11853,11213,10574,9936,9300,8666,7406,4947,4357,3787,3248,2054,1949,2054,2342,2756,13885,13248,12612,11977,11344,9457,8835,5810,5237,3674,3248,2678,2598,2678,14654,14022,13391,12761,12134,11510,10888,9656,8444,6687,6128,4159,3787,3498,3787,4159,16069,15439,14812,14186,12324,11710,11099,9893,9300,8714,8139,4357,4684,20010,16238,12545,11942,11344,9590,25223,12794,12204,11619,25998,15439,14840,13656,13072,27412,26781,21776,21157,17489,16888,16290,15697,15108,14524,13946,28201,27573,21979,21366,20755,20146,19540,18337,17741,17148,16560,15976,15398,14826,14260,28372,27748,25884,20987,20386,19787,19192,18600,18012,17429,16850,16277,15150,28557,27938,27319,26702,26087,25473,24861,23643,23038,22435,21237,20643,20052,19464,18881,18303,17729,17161,16598,16042,26915,25696,25089,24485,23883,23284,22094,21503,20917,20334,19755,19181,18611,18047,17489,16938,24138,23545,22955,22369,21786,21207,20632,20062,19497,18937,18383,17836,24407,23821,23239,22659,22084,21513,20947,20386,19829,19279,18735,18199,24691,24112,23536,22965,22397,21834,21277,20724,20177,19637,24988,24416,23848,23284,22724,22170,21621,21077,20540,20010,21445
9,11061,10413,1452,11042,10393,9094,5846,650,0,650,1299,8469,7821,6528,5882,5237,4593,3312,2678,2054,1452,919,919,1452,8543,7902,4729,4108,3498,2342,1837,1452,1452,1837,14422,13779,13136,12494,11853,11213,10574,9936,9300,8034,5550,4947,4357,3787,2342,2054,1949,2054,2342,14524,13885,13248,12612,11977,10084,9457,6397,5810,4159,3674,2905,2678,2598,15288,14654,14022,13391,12761,12134,11510,10270,9047,7262,6687,4593,4159,3787,3498,3787,16700,16069,15439,14812,12942,12324,11710,10494,9893,9300,8714,4108,4357,20643,16863,13152,12545,11942,10167,25859,13391,12794,12204,26631,16042,15439,14245,13656,28043,27412,22397,21776,18094,17489,16888,16290,15697,15108,14524,28829,28201,22594,21979,21366,20755,20146,18937,18337,17741,17148,16560,15976,15398,14826,28997,28372,26504,21592,20987,20386,19787,19192,18600,18012,17429,16850,15710,29179,28557,27938,27319,26702,26087,25473,24251,23643,23038,21834,21237,20643,20052,19464,18881,18303,17729,17161,16598,27527,26304,25696,25089,24485,23883,22687,22094,21503,20917,20334,19755,19181,18611,18047,17489,24734,24138,23545,22955,22369,21786,21207,20632,20062,19497,18937,18383,24997,24407,23821,23239,22659,22084,21513,20947,20386,19829,19279,18735,25274,24691,24112,23536,22965,22397,21834,21277,20724,20177,25564,24988,24416,23848,23284,22724,22170,21621,21077,20540,21979
10,11710,11061,919,11692,11042,9743,6495,1299,650,0,650,9117,8469,7174,6528,5882,5237,3951,3312,2678,2054,1452,650,919,9186,8543,5356,4729,4108,2905,2342,1837,1299,1452,15066,14422,13779,13136,12494,11853,11213,10574,9936,8666,6162,5550,4947,4357,2756,2342,2054,1949,2054,15164,14524,13885,13248,12612,10712,10084,6996,6397,4684,4159,3248,2905,2678,15924,15288,14654,14022,13391,12761,12134,10888,9656,7848,7262,5073,4593,4159,3312,3498,17332,16700,16069,15439,13563,12942,12324,11099,10494,9893,9300,3951,4108,21277,17489,13763,13152,12545,10752,26496,13991,13391,12794,27265,16649,16042,14840,14245,28675,28043,23020,22397,18702,18094,17489,16888,16290,15697,15108,29459,28829,23211,22594,21979,21366,20755,19540,18937,18337,17741,17148,16560,15976,15398,29623,28997,27125,22199,21592,20987,20386,19787,19192,18600,18012,17429,16277,29801,29179,28557,27938,27319,26702,26087,24861,24251,23643,22435,21834,21237,20643,20052,19464,18881,18303,17729,17161,28141,26915,26304,25696,25089,24485,23284,22687,22094,21503,20917,20334,19755,19181,18611,18047,25332,24734,24138,23545,22955,22369,21786,21207,20632,20062,19497,18937,25589,24997,24407,23821,23239,22659,22084,21513,20947,20386,19829,19279,25859,25274,24691,24112,23536,22965,22397,21834,21277,20724,26143,25564,24988,24416,23848,23284,22724,22170,21621,21077,22519
